Epoch     1, Loss:   0.95556, ode_loss: 0.0000051, ic_loss: 0.5485280, data_loss: 0.4070224, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   100, Loss:   0.03494, ode_loss: 0.0000379, ic_loss: 0.0001106, data_loss: 0.0344789, aw_ode: 1.03, aw_ic: 1.01, aw_data: 1.01
Epoch   200, Loss:   0.00826, ode_loss: 0.0000148, ic_loss: 0.0001667, data_loss: 0.0079902, aw_ode: 1.06, aw_ic: 1.01, aw_data: 1.01
Epoch   300, Loss:   0.00055, ode_loss: 0.0000136, ic_loss: 0.0000261, data_loss: 0.0005043, aw_ode: 1.08, aw_ic: 1.01, aw_data: 1.01
Epoch   400, Loss:   0.00043, ode_loss: 0.0000135, ic_loss: 0.0000158, data_loss: 0.0003962, aw_ode: 1.10, aw_ic: 1.01, aw_data: 1.01
Epoch   500, Loss:   0.00034, ode_loss: 0.0000137, ic_loss: 0.0000076, data_loss: 0.0003170, aw_ode: 1.12, aw_ic: 1.01, aw_data: 1.01
Epoch   600, Loss:   0.00029, ode_loss: 0.0000136, ic_loss: 0.0000028, data_loss: 0.0002682, aw_ode: 1.14, aw_ic: 1.01, aw_data: 1.01
Epoch   700, Loss:   0.00026, ode_loss: 0.0000132, ic_loss: 0.0000007, data_loss: 0.0002440, aw_ode: 1.17, aw_ic: 1.01, aw_data: 1.01
Epoch   800, Loss:   0.00025, ode_loss: 0.0000129, ic_loss: 0.0000001, data_loss: 0.0002318, aw_ode: 1.19, aw_ic: 1.01, aw_data: 1.01
Epoch   900, Loss:   0.00024, ode_loss: 0.0000125, ic_loss: 0.0000000, data_loss: 0.0002236, aw_ode: 1.21, aw_ic: 1.01, aw_data: 1.01
Epoch  1000, Loss:   0.00023, ode_loss: 0.0000123, ic_loss: 0.0000000, data_loss: 0.0002145, aw_ode: 1.24, aw_ic: 1.01, aw_data: 1.01
