
Epoch     1, Loss:   2.23018, ode_loss: 0.0000006, ic_loss: 1.3016204, data_loss: 0.9285548, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   100, Loss:   0.04246, ode_loss: 0.0000107, ic_loss: 0.0036726, data_loss: 0.0384239, aw_ode: 1.03, aw_ic: 1.01, aw_data: 1.01
Epoch   200, Loss:   0.00795, ode_loss: 0.0000119, ic_loss: 0.0002459, data_loss: 0.0076211, aw_ode: 1.06, aw_ic: 1.01, aw_data: 1.01
Epoch   300, Loss:   0.00169, ode_loss: 0.0000103, ic_loss: 0.0000770, data_loss: 0.0015896, aw_ode: 1.09, aw_ic: 1.01, aw_data: 1.01
Epoch   400, Loss:   0.00090, ode_loss: 0.0000111, ic_loss: 0.0000365, data_loss: 0.0008388, aw_ode: 1.11, aw_ic: 1.01, aw_data: 1.01
Epoch   500, Loss:   0.00065, ode_loss: 0.0000117, ic_loss: 0.0000211, data_loss: 0.0006101, aw_ode: 1.14, aw_ic: 1.01, aw_data: 1.01
Epoch   600, Loss:   0.00053, ode_loss: 0.0000118, ic_loss: 0.0000144, data_loss: 0.0004995, aw_ode: 1.17, aw_ic: 1.01, aw_data: 1.01
Epoch   700, Loss:   0.00044, ode_loss: 0.0000118, ic_loss: 0.0000087, data_loss: 0.0004138, aw_ode: 1.20, aw_ic: 1.01, aw_data: 1.01
Epoch   800, Loss:   0.00036, ode_loss: 0.0000116, ic_loss: 0.0000042, data_loss: 0.0003384, aw_ode: 1.23, aw_ic: 1.01, aw_data: 1.01
Epoch   900, Loss:   0.00026, ode_loss: 0.0000116, ic_loss: 0.0000026, data_loss: 0.0002402, aw_ode: 1.26, aw_ic: 1.01, aw_data: 1.01
Epoch  1000, Loss:   0.00021, ode_loss: 0.0000115, ic_loss: 0.0000008, data_loss: 0.0001921, aw_ode: 1.29, aw_ic: 1.01, aw_data: 1.01
