Epoch     1, Loss:  18.33234, ode_loss: 10.4582787, ic_loss: 0.6979135, data_loss: 7.1761532, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   100, Loss:   0.64225, ode_loss: 0.0014887, ic_loss: 0.4732707, data_loss: 0.1578124, aw_ode: 1.00, aw_ic: 1.02, aw_data: 1.00
Epoch   200, Loss:   0.27300, ode_loss: 0.0006342, ic_loss: 0.1895179, data_loss: 0.0765116, aw_ode: 1.00, aw_ic: 1.03, aw_data: 1.00
Epoch   300, Loss:   0.00340, ode_loss: 0.0000726, ic_loss: 0.0004942, data_loss: 0.0028017, aw_ode: 1.00, aw_ic: 1.03, aw_data: 1.00
Epoch   400, Loss:   0.00069, ode_loss: 0.0000494, ic_loss: 0.0000470, data_loss: 0.0005923, aw_ode: 1.00, aw_ic: 1.03, aw_data: 1.00
Epoch   500, Loss:   0.00017, ode_loss: 0.0000395, ic_loss: 0.0000034, data_loss: 0.0001309, aw_ode: 1.00, aw_ic: 1.03, aw_data: 1.00
Epoch   600, Loss:   0.00023, ode_loss: 0.0000307, ic_loss: 0.0000006, data_loss: 0.0001978, aw_ode: 1.00, aw_ic: 1.03, aw_data: 1.00
Epoch   700, Loss:   0.00009, ode_loss: 0.0000276, ic_loss: 0.0000001, data_loss: 0.0000619, aw_ode: 1.00, aw_ic: 1.03, aw_data: 1.00
Epoch   800, Loss:   0.00008, ode_loss: 0.0000263, ic_loss: 0.0000000, data_loss: 0.0000509, aw_ode: 1.00, aw_ic: 1.03, aw_data: 1.00
Epoch   900, Loss:   0.00026, ode_loss: 0.0000264, ic_loss: 0.0000000, data_loss: 0.0002349, aw_ode: 1.00, aw_ic: 1.03, aw_data: 1.00
Epoch  1000, Loss:   0.00006, ode_loss: 0.0000262, ic_loss: 0.0000000, data_loss: 0.0000298, aw_ode: 1.00, aw_ic: 1.03, aw_data: 1.00
