
Epoch     1, Loss:   2.07779, ode_loss: 0.0000145, ic_loss: 1.3006330, data_loss: 0.7771392, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   100, Loss:   0.03465, ode_loss: 0.0000739, ic_loss: 0.0012563, data_loss: 0.0330418, aw_ode: 1.03, aw_ic: 1.01, aw_data: 1.01
Epoch   200, Loss:   0.02327, ode_loss: 0.0000578, ic_loss: 0.0000478, data_loss: 0.0229450, aw_ode: 1.07, aw_ic: 1.01, aw_data: 1.01
Epoch   300, Loss:   0.00872, ode_loss: 0.0000476, ic_loss: 0.0001000, data_loss: 0.0084873, aw_ode: 1.09, aw_ic: 1.01, aw_data: 1.01
Epoch   400, Loss:   0.00135, ode_loss: 0.0000412, ic_loss: 0.0000121, data_loss: 0.0012825, aw_ode: 1.12, aw_ic: 1.01, aw_data: 1.01
Epoch   500, Loss:   0.00054, ode_loss: 0.0000370, ic_loss: 0.0000008, data_loss: 0.0004943, aw_ode: 1.14, aw_ic: 1.01, aw_data: 1.01
Epoch   600, Loss:   0.00045, ode_loss: 0.0000339, ic_loss: 0.0000001, data_loss: 0.0004035, aw_ode: 1.16, aw_ic: 1.01, aw_data: 1.01
Epoch   700, Loss:   0.00042, ode_loss: 0.0000312, ic_loss: 0.0000000, data_loss: 0.0003761, aw_ode: 1.18, aw_ic: 1.01, aw_data: 1.01
Epoch   800, Loss:   0.00040, ode_loss: 0.0000290, ic_loss: 0.0000000, data_loss: 0.0003606, aw_ode: 1.20, aw_ic: 1.01, aw_data: 1.01
Epoch   900, Loss:   0.00038, ode_loss: 0.0000270, ic_loss: 0.0000000, data_loss: 0.0003459, aw_ode: 1.22, aw_ic: 1.01, aw_data: 1.01
Epoch  1000, Loss:   0.00037, ode_loss: 0.0000251, ic_loss: 0.0000000, data_loss: 0.0003342, aw_ode: 1.24, aw_ic: 1.01, aw_data: 1.01
