Epoch     1, Loss:   1.51882, ode_loss: 0.0000111, ic_loss: 0.9498625, data_loss: 0.5689473, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   100, Loss:   1.37605, ode_loss: 0.0000103, ic_loss: 0.8760223, data_loss: 0.4990796, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   200, Loss:   1.23879, ode_loss: 0.0000101, ic_loss: 0.8010548, data_loss: 0.4360993, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   300, Loss:   1.10701, ode_loss: 0.0000106, ic_loss: 0.7257389, data_loss: 0.3791607, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   400, Loss:   0.98005, ode_loss: 0.0000116, ic_loss: 0.6502909, data_loss: 0.3273638, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   500, Loss:   0.85785, ode_loss: 0.0000131, ic_loss: 0.5752132, data_loss: 0.2801314, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   600, Loss:   0.74089, ode_loss: 0.0000150, ic_loss: 0.5012493, data_loss: 0.2371573, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   700, Loss:   0.63011, ode_loss: 0.0000173, ic_loss: 0.4293554, data_loss: 0.1983961, aw_ode: 1.01, aw_ic: 1.00, aw_data: 1.00
Epoch   800, Loss:   0.52687, ode_loss: 0.0000199, ic_loss: 0.3607212, data_loss: 0.1640049, aw_ode: 1.01, aw_ic: 1.00, aw_data: 1.00
Epoch   900, Loss:   0.43275, ode_loss: 0.0000229, ic_loss: 0.2966242, data_loss: 0.1342331, aw_ode: 1.01, aw_ic: 1.00, aw_data: 1.00
Epoch  1000, Loss:   0.34910, ode_loss: 0.0000261, ic_loss: 0.2382398, data_loss: 0.1092536, aw_ode: 1.01, aw_ic: 1.00, aw_data: 1.00
Epoch  1100, Loss:   0.27688, ode_loss: 0.0000295, ic_loss: 0.1865092, data_loss: 0.0890363, aw_ode: 1.01, aw_ic: 1.00, aw_data: 1.00
Epoch  1200, Loss:   0.21643, ode_loss: 0.0000330, ic_loss: 0.1420422, data_loss: 0.0733098, aw_ode: 1.01, aw_ic: 1.01, aw_data: 1.00
