Epoch     1, Loss:   2.22490, ode_loss: 0.0000590, ic_loss: 1.3647860, data_loss: 0.8600543, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   100, Loss:   2.03857, ode_loss: 0.0000518, ic_loss: 1.2680221, data_loss: 0.7691047, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   200, Loss:   1.85961, ode_loss: 0.0000469, ic_loss: 1.1740154, data_loss: 0.6830876, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   300, Loss:   1.68704, ode_loss: 0.0000439, ic_loss: 1.0825026, data_loss: 0.6012510, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   400, Loss:   1.51894, ode_loss: 0.0000431, ic_loss: 0.9924467, data_loss: 0.5226951, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   500, Loss:   1.35452, ode_loss: 0.0000444, ic_loss: 0.9029271, data_loss: 0.4475053, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   600, Loss:   1.19399, ode_loss: 0.0000479, ic_loss: 0.8134790, data_loss: 0.3763479, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   700, Loss:   1.03869, ode_loss: 0.0000532, ic_loss: 0.7243258, data_loss: 0.3102916, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   800, Loss:   0.89074, ode_loss: 0.0000600, ic_loss: 0.6362572, data_loss: 0.2506484, aw_ode: 1.01, aw_ic: 1.00, aw_data: 1.00
Epoch   900, Loss:   0.75261, ode_loss: 0.0000677, ic_loss: 0.5504655, data_loss: 0.1986375, aw_ode: 1.01, aw_ic: 1.00, aw_data: 1.00
Epoch  1000, Loss:   0.62661, ode_loss: 0.0000755, ic_loss: 0.4683879, data_loss: 0.1551008, aw_ode: 1.01, aw_ic: 1.01, aw_data: 1.00
