Epoch     1, Loss:   2.21435, ode_loss: 0.1569239, ic_loss: 0.4938109, data_loss: 1.5636176, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   100, Loss:   1.52914, ode_loss: 0.0267225, ic_loss: 0.4763187, data_loss: 1.0251225, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   200, Loss:   1.14791, ode_loss: 0.0025223, ic_loss: 0.4592238, data_loss: 0.6847994, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   300, Loss:   0.90116, ode_loss: 0.0000227, ic_loss: 0.4422984, data_loss: 0.4573097, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   400, Loss:   0.66282, ode_loss: 0.0001820, ic_loss: 0.4250033, data_loss: 0.2361200, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   500, Loss:   0.58100, ode_loss: 0.0033878, ic_loss: 0.4088009, data_loss: 0.1671763, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   600, Loss:   0.55636, ode_loss: 0.0057510, ic_loss: 0.3935047, data_loss: 0.1552864, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   700, Loss:   0.53700, ode_loss: 0.0057670, ic_loss: 0.3782468, data_loss: 0.1510020, aw_ode: 1.00, aw_ic: 1.00, aw_data: 1.00
Epoch   800, Loss:   0.51737, ode_loss: 0.0057225, ic_loss: 0.3629112, data_loss: 0.1466032, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch   900, Loss:   0.49847, ode_loss: 0.0054845, ic_loss: 0.3473641, data_loss: 0.1433748, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  1000, Loss:   0.47917, ode_loss: 0.0052998, ic_loss: 0.3314777, data_loss: 0.1400504, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  1100, Loss:   0.45945, ode_loss: 0.0051167, ic_loss: 0.3152624, data_loss: 0.1366561, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  1200, Loss:   0.43657, ode_loss: 0.0049308, ic_loss: 0.2985410, data_loss: 0.1306508, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  1300, Loss:   0.41178, ode_loss: 0.0041400, ic_loss: 0.2815077, data_loss: 0.1236845, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  1400, Loss:   0.38910, ode_loss: 0.0038756, ic_loss: 0.2643493, data_loss: 0.1184452, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  1500, Loss:   0.36482, ode_loss: 0.0032827, ic_loss: 0.2470675, data_loss: 0.1120822, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  1600, Loss:   0.33907, ode_loss: 0.0027265, ic_loss: 0.2297303, data_loss: 0.1042916, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  1700, Loss:   0.31706, ode_loss: 0.0022179, ic_loss: 0.2127167, data_loss: 0.0998812, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
Epoch  1800, Loss:   0.29511, ode_loss: 0.0019814, ic_loss: 0.1957547, data_loss: 0.0952280, aw_ode: 1.00, aw_ic: 1.01, aw_data: 1.00
